Matchday,Date,Time,Home Team,Home Country,Away Team,Away Country,Score,Halftime

1,2024-09-17,18:45,BSC Young Boys,SUI,Aston Villa FC,ENG,0-3,0-2
1,2024-09-17,18:45,Juventus FC,ITA,PSV,NED,3-1,2-0
1,2024-09-17,21:00,Sporting CP,POR,Lille OSC,FRA,2-0,1-0
1,2024-09-17,21:00,FC Bayern München,GER,GNK Dinamo Zagreb,CRO,9-2,3-0
1,2024-09-17,21:00,Real Madrid,ESP,VfB Stuttgart,GER,3-1,0-0
1,2024-09-17,21:00,AC Milan,ITA,Liverpool FC,ENG,1-3,1-2
1,2024-09-18,18:45,Bologna FC,ITA,FK Shakhtar Donetsk,UKR,0-0,0-0
1,2024-09-18,18:45,AC Sparta Praha,CZE,FC RB Salzburg,AUT,3-0,2-0
1,2024-09-18,21:00,Manchester City,ENG,Inter Milan,ITA,0-0,0-0
1,2024-09-18,21:00,Paris SG,FRA,Girona FC,ESP,1-0,0-0
1,2024-09-18,21:00,Club Brugge,BEL,Borussia Dortmund,GER,0-3,0-0
1,2024-09-18,21:00,Celtic FC,SCO,ŠK Slovan Bratislava,SVK,5-1,1-0

Stage,Date,Time,Home Team,Away Team,Score (FT),Score (HT)

League Matchday 1,2024-09-17,18:45,BSC Young Boys (SUI),Aston Villa FC (ENG),0-3,0-2
League Matchday 1,2024-09-17,18:45,Juventus FC (ITA),PSV (NED),3-1,2-0
League Matchday 1,2024-09-17,21:00,Sporting Clube de Portugal (POR),Lille OSC (FRA),2-0,1-0
League Matchday 1,2024-09-17,21:00,FC Bayern München (GER),GNK Dinamo Zagreb (CRO),9-2,3-0
League Matchday 1,2024-09-17,21:00,Real Madrid CF (ESP),VfB Stuttgart (GER),3-1,0-0
League Matchday 1,2024-09-17,21:00,AC Milan (ITA),Liverpool FC (ENG),1-3,1-2
League Matchday 1,2024-09-18,18:45,Bologna FC 1909 (ITA),FK Shakhtar Donetsk (UKR),0-0,
League Matchday 1,2024-09-18,18:45,AC Sparta Praha (CZE),FC Red Bull Salzburg (AUT),3-0,2-0
League Matchday 1,2024-09-18,21:00,Manchester City FC (ENG),FC Internazionale Milano (ITA),0-0,
League Matchday 1,2024-09-18,21:00,Paris Saint-Germain FC (FRA),Girona FC (ESP),1-0,0-0
League Matchday 1,2024-09-18,21:00,Club Brugge KV (BEL),Borussia Dortmund (GER),0-3,0-0
League Matchday 1,2024-09-18,21:00,Celtic FC (SCO),ŠK Slovan Bratislava (SVK),5-1,1-0
League Matchday 1,2024-09-19,18:45,Feyenoord Rotterdam (NED),Bayer 04 Leverkusen (GER),0-4,0-4
League Matchday 1,2024-09-19,18:45,FK Crvena Zvezda (SRB),Sport Lisboa e Benfica (POR),1-2,0-2
League Matchday 1,2024-09-19,21:00,AS Monaco FC (MCO),FC Barcelona (ESP),2-1,1-1
League Matchday 1,2024-09-19,21:00,Stade Brestois 29 (FRA),SK Sturm Graz (AUT),2-1,1-1
League Matchday 1,2024-09-19,21:00,Atalanta BC (ITA),Arsenal FC (ENG),0-0,
League Matchday 1,2024-09-19,21:00,Club Atlético de Madrid (ESP),RB Leipzig (GER),2-1,1-1

Playoffs Matchday 1,2025-02-11,18:45,Stade Brestois 29 (FRA),Paris Saint-Germain FC (FRA),0-3,0-2
Playoffs Matchday 1,2025-02-11,21:00,Manchester City FC (ENG),Real Madrid CF (ESP),2-3,1-0
Playoffs Matchday 1,2025-02-11,21:00,Juventus FC (ITA),PSV (NED),2-1,1-0
Playoffs Matchday 1,2025-02-11,21:00,Sporting Clube de Portugal (POR),Borussia Dortmund (GER),0-3,0-0
Playoffs Matchday 1,2025-02-12,18:45,Club Brugge KV (BEL),Atalanta BC (ITA),2-1,1-1
Playoffs Matchday 1,2025-02-12,21:00,AS Monaco FC (MCO),Sport Lisboa e Benfica (POR),0-1,0-0
Playoffs Matchday 1,2025-02-12,21:00,Celtic FC (SCO),FC Bayern München (GER),1-2,0-1
Playoffs Matchday 1,2025-02-12,21:00,Feyenoord Rotterdam (NED),AC Milan (ITA),1-0,1-0

Playoffs Matchday 2,2025-02-18,18:45,AC Milan (ITA),Feyenoord Rotterdam (NED),1-1,1-0
Playoffs Matchday 2,2025-02-18,21:00,Sport Lisboa e Benfica (POR),AS Monaco FC (MCO),3-3,1-1
Playoffs Matchday 2,2025-02-18,21:00,FC Bayern München (GER),Celtic FC (SCO),1-1,0-0
Playoffs Matchday 2,2025-02-18,21:00,Atalanta BC (ITA),Club Brugge KV (BEL),1-3,0-3
Playoffs Matchday 2,2025-02-19,18:45,Borussia Dortmund (GER),Sporting Clube de Portugal (POR),0-0,
Playoffs Matchday 2,2025-02-19,21:00,Paris Saint-Germain FC (FRA),Stade Brestois 29 (FRA),7-0,2-0
Playoffs Matchday 2,2025-02-19,21:00,Real Madrid CF (ESP),Manchester City FC (ENG),3-1,2-0
Playoffs Matchday 2,2025-02-19,21:00,PSV (NED),Juventus FC (ITA),3-1,0-0

Finals Round of 16,2025-03-04,18:45,Club Brugge KV (BEL),Aston Villa FC (ENG),1-3,1-1
Finals Round of 16,2025-03-04,21:00,Real Madrid CF (ESP),Club Atlético de Madrid (ESP),2-1,1-1
Finals Round of 16,2025-03-04,21:00,PSV (NED),Arsenal FC (ENG),1-7,1-3
Finals Round of 16,2025-03-04,21:00,Borussia Dortmund (GER),Lille OSC (FRA),1-1,1-0
Finals Round of 16,2025-03-05,18:45,Feyenoord Rotterdam (NED),FC Internazionale Milano (ITA),0-2,0-1
Finals Round of 16,2025-03-05,21:00,Paris Saint-Germain FC (FRA),Liverpool FC (ENG),0-1,0-0
Finals Round of 16,2025-03-05,21:00,FC Bayern München (GER),Bayer 04 Leverkusen (GER),3-0,1-0
Finals Round of 16,2025-03-05,21:00,Sport Lisboa e Benfica (POR),FC Barcelona (ESP),0-1,0-0
Finals Round of 16,2025-03-11,18:45,FC Barcelona (ESP),Sport Lisboa e Benfica (POR),3-1,3-1
Finals Round of 16,2025-03-11,21:00,Liverpool FC (ENG),Paris Saint-Germain FC (FRA),4-4 pen. 0-1 a.e.t.,0-1,0-1
Finals Round of 16,2025-03-11,21:00,FC Internazionale Milano (ITA),Feyenoord Rotterdam (NED),2-1,1-1
Finals Round of 16,2025-03-11,21:00,Bayer 04 Leverkusen (GER),FC Bayern München (GER),0-2,0-0
Finals Round of 16,2025-03-12,18:45,Lille OSC (FRA),Borussia Dortmund (GER),1-2,1-0
Finals Round of 16,2025-03-12,21:00,Aston Villa FC (ENG),Club Brugge KV (BEL),3-0,0-0
Finals Round of 16,2025-03-12,21:00,Club Atlético de Madrid (ESP),Real Madrid CF (ESP),4-4 pen. 1-0 a.e.t.,1-0,1-0
Finals Round of 16,2025-03-12,21:00,Arsenal FC (ENG),PSV (NED),2-2,2-1

Finals Quarterfinals,2025-04-08,21:00,Arsenal FC (ENG),Real Madrid CF (ESP),3-0,0-0
Finals Quarterfinals,2025-04-08,21:00,FC Bayern München (GER),FC Internazionale Milano (ITA),1-2,0-1
Finals Quarterfinals,2025-04-09,21:00,Paris Saint-Germain FC (FRA),Aston Villa FC (ENG),3-1,1-1
Finals Quarterfinals,2025-04-09,21:00,FC Barcelona (ESP),Borussia Dortmund (GER),4-0,1-0
Finals Quarterfinals,2025-04-15,21:00,Aston Villa FC (ENG),Paris Saint-Germain FC (FRA),3-2,1-2
Finals Quarterfinals,2025-04-15,21:00,Borussia Dortmund (GER),FC Barcelona (ESP),3-1,1-0
Finals Quarterfinals,2025-04-16,21:00,Real Madrid CF (ESP),Arsenal FC (ENG),1-2,0-0
Finals Quarterfinals,2025-04-16,21:00,FC Internazionale Milano (ITA),FC Bayern München (GER),2-2,0-0

Finals Semifinals,2025-04-29,21:00,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),0-1,0-1
Finals Semifinals,2025-04-30,21:00,FC Barcelona (ESP),FC Internazionale Milano (ITA),3-3,2-2
Finals Semifinals,2025-05-06,21:00,FC Internazionale Milano (ITA),FC Barcelona (ESP),4-3,2-0
Finals Semifinals,2025-05-07,21:00,Paris Saint-Germain FC (FRA),Arsenal FC (ENG),2-1,1-0

Finals Final,2025-05-31,21:00,Paris Saint-Germain FC (FRA),FC Internazionale Milano (ITA),,
